,station_code,7/12/19 8:00,7/12/19 9:00,7/12/19 10:00,7/12/19 11:00,7/12/19 12:00,7/12/19 13:00,7/12/19 14:00,7/12/19 15:00,7/12/19 16:00,7/12/19 17:00,7/12/19 18:00,7/12/19 19:00,7/12/19 20:00,7/12/19 21:00
0,6309,0,5,2,0,2,2,2,-2,1,-1,1,-2,2,0
1,6341,-5,1,2,1,3,3,1,3,0,-1,2,0,-2,0
2,6379,-2,0,0,0,1,1,-2,1,1,2,0,0,3,0
3,6425,0,-3,0,2,2,2,1,2,1,1,2,2,0,0
4,6426,1,0,0,0,2,3,-1,1,0,-2,-2,-4,0,0
5,6427,3,0,0,1,2,1,1,2,-1,1,0,2,-2,0
6,6705,-4,0,0,-2,2,2,1,-1,0,-1,2,-1,1,0
7,6706,-3,1,0,1,0,-1,2,1,1,0,0,1,-2,0
8,6712,-4,-1,0,1,1,1,0,1,1,-3,-1,2,1,0
9,6715,0,0,0,0,1,1,-1,1,1,1,1,1,1,0
10,7056,-1,-1,0,0,-4,0,0,0,2,0,-2,-2,0,0
11,7057,-1,0,-2,0,1,-1,-1,1,0,-1,-2,-1,1,0
12,7058,1,-2,0,0,-2,1,-1,0,0,0,-1,4,0,0
13,7059,-3,-1,-2,0,0,-2,1,0,0,0,0,0,0,0
14,7060,0,0,0,-3,0,-1,0,0,3,-2,-2,0,-1,0
15,7143,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0
16,7144,2,0,0,0,0,0,-5,1,0,-2,2,1,-2,0
17,7145,-3,-7,0,-1,-1,0,-2,0,-2,0,1,3,0,0
