,station_code,7/8/19 8:00,7/8/19 9:00,7/8/19 10:00,7/8/19 11:00,7/8/19 12:00,7/8/19 13:00,7/8/19 14:00,7/8/19 15:00,7/8/19 16:00,7/8/19 17:00,7/8/19 18:00,7/8/19 19:00,7/8/19 20:00,7/8/19 21:00
0,6309,-1,-2,3,-1,1,-2,1,2,5,-1,-3,2,-2,0
1,6341,1,-1,1,-1,2,3,0,-2,1,-1,1,-2,-2,0
2,6379,-5,2,-1,2,0,1,1,3,3,-2,-1,3,3,0
3,6425,2,4,-2,1,2,2,1,0,-2,1,-2,0,0,0
4,6426,3,0,0,-2,-2,1,0,1,2,-2,0,0,1,0
5,6427,5,2,0,1,0,2,-1,-2,3,1,0,-2,-2,0
6,6705,-4,-3,-1,-1,2,-1,0,1,-1,-1,-1,1,1,0
7,6706,-2,1,1,0,0,1,1,2,2,1,1,2,2,0
8,6712,1,-2,1,-3,-1,1,1,1,0,-1,1,1,1,0
9,6715,-2,0,0,1,1,1,1,1,1,1,0,1,1,0
10,7056,-3,-2,0,0,-2,0,2,0,3,0,0,0,0,0
11,7057,3,-1,-2,-1,-2,1,0,1,0,-1,-2,1,1,0
12,7058,-3,1,-1,0,-1,0,0,0,2,0,-1,0,0,0
13,7059,3,0,-3,0,0,0,0,0,-1,0,-3,0,0,0
14,7060,2,-2,-1,-2,-2,0,3,-1,1,-2,-1,-1,-1,0
15,7143,-3,-1,0,-1,0,-1,0,0,-2,-1,0,0,0,0
16,7144,-4,-2,-3,-2,2,1,0,-2,1,-2,-3,-2,-2,0
17,7145,2,-3,0,0,1,0,-2,0,0,0,0,0,0,0
